year,graduate_total,undergraduate_vocational_graduates,undergraduate_graduates,vocational_graduates,postgraduate_graduates,master_graduates,doctoral_graduates,postgraduate_share,master_share,unit,data_scope,source,source_file,note
2011,651.1994,608.2,279.6229,328.5,42.9994,37.9705,5.0289,0.0660310805,0.0583085611,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2012,673.3455,624.7,303.8473,320.9,48.6455,43.4742,5.1713,0.07224448667,0.06456447693,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2013,690.0626,638.7,319.9716,318.7,51.3626,46.0487,5.3139,0.07443179793,0.06673119221,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2014,712.9863,659.4,341.3787,318,53.5863,48.221,5.3653,0.0751575451,0.06763243557,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2015,736.0522,680.9,358.594,322.3,55.1522,49.7744,5.3778,0.07492974004,0.06762346475,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2016,760.5938,704.2,374.368,329.8,56.3938,50.8927,5.5011,0.0741444382,0.0669117997,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2017,793.6045,735.8,384.1839,351.6,57.8045,52.0013,5.8032,0.07283791864,0.0655254601,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2018,813.7368,753.3,386.8358,366.5,60.4368,54.3644,6.0724,0.07427069785,0.0668083341,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2019,822.4666,758.5,394.7157,363.8,63.9666,57.7088,6.2578,0.07777410049,0.07016552405,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2020,870.0627,797.2,420.5097,376.7,72.8627,66.2451,6.6176,0.08374419453,0.07613830589,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2021,903.7761,826.5,428.097,398.4,77.2761,70.0742,7.2019,0.08550358878,0.07753491158,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2022,1053.5165,967.3,471.5658,494.8,86.2165,77.9845,8.232,0.08183687678,0.07402304568,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2023,1148.4755,1047,489.7422,553.3,101.4755,92.7629,8.7126,0.08835669546,0.08077046485,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2024,1167.7595,1059.4,511.9577,540.4,108.3595,98.641,9.7185,0.09279265123,0.08447030403,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数
2025,1221.8,1105.1,,,116.7,,,0.09551481421,,万人,年度统计口径,教育-年度数据.xlsx,data/raw/official_statistics/教育-年度数据.xlsx,graduate_total=普通本科、专科生毕(结)业生数+研究生毕(结)业生数；硕士/博士分项原表缺失
